
2024/01/30 (20:32:21) | ===> btop++ v.1.3.0
2024/01/30 (20:32:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (20:34:14) | ===> btop++ v.1.3.0
2024/01/30 (20:34:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (02:03:17) | ===> btop++ v.1.3.0
2024/01/31 (02:03:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (02:37:09) | ===> btop++ v.1.3.0
2024/01/31 (02:37:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (00:25:47) | ===> btop++ v.1.3.0
2024/02/01 (00:25:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (00:45:04) | ===> btop++ v.1.3.0
2024/02/01 (00:45:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (11:14:11) | ===> btop++ v.1.3.0
2024/02/01 (11:14:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (12:59:20) | ===> btop++ v.1.3.0
2024/02/01 (12:59:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/01 (13:03:10) | ===> btop++ v.1.3.0
2024/02/01 (13:03:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (13:47:28) | ===> btop++ v.1.3.0
2024/02/05 (13:47:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/06 (11:21:23) | ===> btop++ v.1.3.0
2024/02/06 (11:21:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (20:18:02) | ===> btop++ v.1.3.0
2024/02/08 (20:18:02) | INFO: Logger set to INFO
2024/02/08 (20:18:03) | INFO: Logger set to DEBUG
